query_id,article_id,original_title,paraphrase,label_name,subject,gold_chunk_ids,gold_article_ids,n_gold_chunks
para-41547,41547,OOPS! New App Allows Users To Remain ANONYMOUS…Defies Liberal Media Narrative…Shows TRUMP Winning BIG Over Crooked Hillary,new app allows users remain anonymous defies liberal media narrative shows trump winning big regarding crooked hillary,fake,left-news,41547:0|41547:1|41547:2,41547,3
para-10653,10653,Puerto Rico needs restructuring to avoid cascading defaults: Treasury,puerto rico requires restructuring avoid cascading defaults,true,politicsNews,10653:0|10653:1|10653:2|10653:3|10653:4|10653:5|10653:6,10653,7
para-4308,4308,Tillerson faces tough talks in Moscow amid increased tensions,tillerson confronts tough discussions moscow during increased tensions,true,politicsNews,4308:0|4308:1|4308:2|4308:3|4308:4|4308:5|4308:6|4308:7|4308:8,4308,9
para-28458,28458,"Hillary Responds To Bernie Calling Her Unqualified, And It’s Kinda Perfect","hillary responds bernie calling her unqualified, it s kinda perfect",fake,News,28458:0|28458:1|28458:2|28458:3,28458,4
para-6931,6931,China lodges protest after Trump call with Taiwan president,china lodges protest following trump call with taiwan president,true,politicsNews,6931:0|6931:1|6931:2|6931:3|6931:4|6931:5|6931:6|6931:7|6931:8,6931,9
para-21667,21667,Internet Collectively Cringes After Photographer Snaps Pic Of Trump’s Nutsack,internet collectively cringes following photographer snaps pic trump s nutsack,fake,News,21667:0|21667:1|21667:2,21667,3
para-28950,28950,Trump Supporter Disgustingly Tells Black People To ‘Go Back To Africa’ (VIDEO),trump supporter disgustingly tells black people go back africa,fake,News,28950:0|28950:1,28950,2
para-3497,3497,World risks four-year legal grey zone if Trump quits climate pact,What happened with world risks four-year legal grey zone if trump quits climate pact,true,politicsNews,3497:0|3497:1|3497:2|3497:3|3497:4|3497:5,3497,6
para-32405,32405,"WATCH TUCKER CARLSON’S Heated Debate With Delusional Illegal Activist: “I am here illegally . . . But I, as a person, am not illegal.” [Video]","tucker carlson s heated debate with delusional illegal activist: i am here illegally . . . but i, as person, am not illegal",fake,politics,32405:0|32405:1|32405:2|32405:3,32405,4
para-38069,38069,WOMAN CRIES After Seeing How Easily Our Votes Are Stolen By Electronic Voting Machines [VIDEO],woman cries following seeing how easily our votes are stolen by electronic voting machines,fake,Government News,38069:0,38069,1
para-40289,40289,WATCH SUSAN RICE Lie About Spying On Trump: “I know nothing about this”…White House Computer Logs Say She’s Lying! [Video],susan rice lie about spying trump: i know nothing about this white house computer logs say she s lying,fake,left-news,40289:0|40289:1,40289,2
para-7461,7461,"UK PM may says looks forward to working with Trump, building ties","uk pm may states looks forward working with trump, building ties",true,politicsNews,7461:0,7461,1
para-19324,19324,Ireland says 'lot of work' needed to move to next phase of Brexit talks,ireland states 'lot work' needed move next phase brexit discussions,true,worldnews,19324:0|19324:1,19324,2
para-35507,35507,“RACIST” President Jackson To Be Replaced With Black Female Representing “Struggle For Racial Equality” On $20 Bill,racist president jackson be replaced with black female representing struggle racial equality $20 bill,fake,politics,35507:0|35507:1|35507:2|35507:3|35507:4|35507:5|35507:6,35507,7
para-32756,32756,RAND PAUL: SOMEBODY WAS SPYING On Trump Campaign…It’s “already been proven to be true” [VIDEO],rand paul: somebody was spying trump campaign it s already been proven be true,fake,politics,32756:0|32756:1,32756,2
para-4221,4221,Japan sees new era of cooperation with U.S.: minister,japan observes new era cooperation with u.s,true,politicsNews,4221:0|4221:1,4221,2
